view_id,physical_packet_uid,capture_uid,capture_packet_index,reference_id,ota_path,reference_path,adc_phase_2m,lowrate_phase_1m,combined_decimation_phase_2m,timing_offset_samples_1m,input_sample_rate_hz,input_samples,target_sample_rate_hz,target_samples,split_group
exp0_000002_rxg20_1_fulltrim:q3,exp000_sess000_run000:seg00:slot000002,exp000_sess000_run000,2,2,ota/exp0_000002_rxg20_1_fulltrim.cfile,reference/signalout_000002_fulltrim.cfile,1,3,7,3.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000002
exp0_000003_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000003,exp000_sess000_run000,3,3,ota/exp0_000003_rxg20_0_fulltrim.cfile,reference/signalout_000003_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000003
exp0_000003_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000003,exp000_sess000_run000,3,3,ota/exp0_000003_rxg20_0_fulltrim.cfile,reference/signalout_000003_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000003
exp0_000003_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000003,exp000_sess000_run000,3,3,ota/exp0_000003_rxg20_0_fulltrim.cfile,reference/signalout_000003_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000003
exp0_000003_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000003,exp000_sess000_run000,3,3,ota/exp0_000003_rxg20_0_fulltrim.cfile,reference/signalout_000003_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000003
exp0_000003_rxg20_1_fulltrim:q0,exp000_sess000_run000:seg00:slot000003,exp000_sess000_run000,3,3,ota/exp0_000003_rxg20_1_fulltrim.cfile,reference/signalout_000003_fulltrim.cfile,1,0,1,0.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000003
exp0_000003_rxg20_1_fulltrim:q1,exp000_sess000_run000:seg00:slot000003,exp000_sess000_run000,3,3,ota/exp0_000003_rxg20_1_fulltrim.cfile,reference/signalout_000003_fulltrim.cfile,1,1,3,1.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000003
exp0_000003_rxg20_1_fulltrim:q2,exp000_sess000_run000:seg00:slot000003,exp000_sess000_run000,3,3,ota/exp0_000003_rxg20_1_fulltrim.cfile,reference/signalout_000003_fulltrim.cfile,1,2,5,2.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000003
exp0_000003_rxg20_1_fulltrim:q3,exp000_sess000_run000:seg00:slot000003,exp000_sess000_run000,3,3,ota/exp0_000003_rxg20_1_fulltrim.cfile,reference/signalout_000003_fulltrim.cfile,1,3,7,3.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000003
exp0_000004_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000004,exp000_sess000_run000,4,4,ota/exp0_000004_rxg20_0_fulltrim.cfile,reference/signalout_000004_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000004
exp0_000004_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000004,exp000_sess000_run000,4,4,ota/exp0_000004_rxg20_0_fulltrim.cfile,reference/signalout_000004_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000004
exp0_000004_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000004,exp000_sess000_run000,4,4,ota/exp0_000004_rxg20_0_fulltrim.cfile,reference/signalout_000004_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000004
exp0_000004_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000004,exp000_sess000_run000,4,4,ota/exp0_000004_rxg20_0_fulltrim.cfile,reference/signalout_000004_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000004
exp0_000004_rxg20_1_fulltrim:q0,exp000_sess000_run000:seg00:slot000004,exp000_sess000_run000,4,4,ota/exp0_000004_rxg20_1_fulltrim.cfile,reference/signalout_000004_fulltrim.cfile,1,0,1,0.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000004
exp0_000004_rxg20_1_fulltrim:q1,exp000_sess000_run000:seg00:slot000004,exp000_sess000_run000,4,4,ota/exp0_000004_rxg20_1_fulltrim.cfile,reference/signalout_000004_fulltrim.cfile,1,1,3,1.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000004
exp0_000004_rxg20_1_fulltrim:q2,exp000_sess000_run000:seg00:slot000004,exp000_sess000_run000,4,4,ota/exp0_000004_rxg20_1_fulltrim.cfile,reference/signalout_000004_fulltrim.cfile,1,2,5,2.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000004
exp0_000004_rxg20_1_fulltrim:q3,exp000_sess000_run000:seg00:slot000004,exp000_sess000_run000,4,4,ota/exp0_000004_rxg20_1_fulltrim.cfile,reference/signalout_000004_fulltrim.cfile,1,3,7,3.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000004
exp0_000005_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000005,exp000_sess000_run000,5,5,ota/exp0_000005_rxg20_0_fulltrim.cfile,reference/signalout_000005_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000005
exp0_000005_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000005,exp000_sess000_run000,5,5,ota/exp0_000005_rxg20_0_fulltrim.cfile,reference/signalout_000005_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000005
exp0_000005_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000005,exp000_sess000_run000,5,5,ota/exp0_000005_rxg20_0_fulltrim.cfile,reference/signalout_000005_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000005
exp0_000005_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000005,exp000_sess000_run000,5,5,ota/exp0_000005_rxg20_0_fulltrim.cfile,reference/signalout_000005_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000005
exp0_000005_rxg20_1_fulltrim:q0,exp000_sess000_run000:seg00:slot000005,exp000_sess000_run000,5,5,ota/exp0_000005_rxg20_1_fulltrim.cfile,reference/signalout_000005_fulltrim.cfile,1,0,1,0.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000005
exp0_000005_rxg20_1_fulltrim:q1,exp000_sess000_run000:seg00:slot000005,exp000_sess000_run000,5,5,ota/exp0_000005_rxg20_1_fulltrim.cfile,reference/signalout_000005_fulltrim.cfile,1,1,3,1.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000005
exp0_000005_rxg20_1_fulltrim:q2,exp000_sess000_run000:seg00:slot000005,exp000_sess000_run000,5,5,ota/exp0_000005_rxg20_1_fulltrim.cfile,reference/signalout_000005_fulltrim.cfile,1,2,5,2.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000005
exp0_000005_rxg20_1_fulltrim:q3,exp000_sess000_run000:seg00:slot000005,exp000_sess000_run000,5,5,ota/exp0_000005_rxg20_1_fulltrim.cfile,reference/signalout_000005_fulltrim.cfile,1,3,7,3.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000005
exp0_000006_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000006,exp000_sess000_run000,6,6,ota/exp0_000006_rxg20_0_fulltrim.cfile,reference/signalout_000006_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000006
exp0_000006_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000006,exp000_sess000_run000,6,6,ota/exp0_000006_rxg20_0_fulltrim.cfile,reference/signalout_000006_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000006
exp0_000006_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000006,exp000_sess000_run000,6,6,ota/exp0_000006_rxg20_0_fulltrim.cfile,reference/signalout_000006_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000006
exp0_000006_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000006,exp000_sess000_run000,6,6,ota/exp0_000006_rxg20_0_fulltrim.cfile,reference/signalout_000006_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000006
exp0_000006_rxg20_1_fulltrim:q0,exp000_sess000_run000:seg00:slot000006,exp000_sess000_run000,6,6,ota/exp0_000006_rxg20_1_fulltrim.cfile,reference/signalout_000006_fulltrim.cfile,1,0,1,0.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000006
exp0_000006_rxg20_1_fulltrim:q1,exp000_sess000_run000:seg00:slot000006,exp000_sess000_run000,6,6,ota/exp0_000006_rxg20_1_fulltrim.cfile,reference/signalout_000006_fulltrim.cfile,1,1,3,1.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000006
exp0_000006_rxg20_1_fulltrim:q2,exp000_sess000_run000:seg00:slot000006,exp000_sess000_run000,6,6,ota/exp0_000006_rxg20_1_fulltrim.cfile,reference/signalout_000006_fulltrim.cfile,1,2,5,2.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000006
exp0_000006_rxg20_1_fulltrim:q3,exp000_sess000_run000:seg00:slot000006,exp000_sess000_run000,6,6,ota/exp0_000006_rxg20_1_fulltrim.cfile,reference/signalout_000006_fulltrim.cfile,1,3,7,3.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000006
exp0_000007_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000007,exp000_sess000_run000,7,7,ota/exp0_000007_rxg20_0_fulltrim.cfile,reference/signalout_000007_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000007
exp0_000007_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000007,exp000_sess000_run000,7,7,ota/exp0_000007_rxg20_0_fulltrim.cfile,reference/signalout_000007_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000007
exp0_000007_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000007,exp000_sess000_run000,7,7,ota/exp0_000007_rxg20_0_fulltrim.cfile,reference/signalout_000007_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000007
exp0_000007_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000007,exp000_sess000_run000,7,7,ota/exp0_000007_rxg20_0_fulltrim.cfile,reference/signalout_000007_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000007
exp0_000007_rxg20_1_fulltrim:q0,exp000_sess000_run000:seg00:slot000007,exp000_sess000_run000,7,7,ota/exp0_000007_rxg20_1_fulltrim.cfile,reference/signalout_000007_fulltrim.cfile,1,0,1,0.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000007
exp0_000007_rxg20_1_fulltrim:q1,exp000_sess000_run000:seg00:slot000007,exp000_sess000_run000,7,7,ota/exp0_000007_rxg20_1_fulltrim.cfile,reference/signalout_000007_fulltrim.cfile,1,1,3,1.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000007
exp0_000007_rxg20_1_fulltrim:q2,exp000_sess000_run000:seg00:slot000007,exp000_sess000_run000,7,7,ota/exp0_000007_rxg20_1_fulltrim.cfile,reference/signalout_000007_fulltrim.cfile,1,2,5,2.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000007
exp0_000007_rxg20_1_fulltrim:q3,exp000_sess000_run000:seg00:slot000007,exp000_sess000_run000,7,7,ota/exp0_000007_rxg20_1_fulltrim.cfile,reference/signalout_000007_fulltrim.cfile,1,3,7,3.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000007
exp0_000008_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000008,exp000_sess000_run000,8,8,ota/exp0_000008_rxg20_0_fulltrim.cfile,reference/signalout_000008_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000008
exp0_000008_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000008,exp000_sess000_run000,8,8,ota/exp0_000008_rxg20_0_fulltrim.cfile,reference/signalout_000008_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000008
exp0_000008_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000008,exp000_sess000_run000,8,8,ota/exp0_000008_rxg20_0_fulltrim.cfile,reference/signalout_000008_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000008
exp0_000008_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000008,exp000_sess000_run000,8,8,ota/exp0_000008_rxg20_0_fulltrim.cfile,reference/signalout_000008_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000008
exp0_000008_rxg20_1_fulltrim:q0,exp000_sess000_run000:seg00:slot000008,exp000_sess000_run000,8,8,ota/exp0_000008_rxg20_1_fulltrim.cfile,reference/signalout_000008_fulltrim.cfile,1,0,1,0.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000008
exp0_000008_rxg20_1_fulltrim:q1,exp000_sess000_run000:seg00:slot000008,exp000_sess000_run000,8,8,ota/exp0_000008_rxg20_1_fulltrim.cfile,reference/signalout_000008_fulltrim.cfile,1,1,3,1.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000008
exp0_000008_rxg20_1_fulltrim:q2,exp000_sess000_run000:seg00:slot000008,exp000_sess000_run000,8,8,ota/exp0_000008_rxg20_1_fulltrim.cfile,reference/signalout_000008_fulltrim.cfile,1,2,5,2.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000008
exp0_000008_rxg20_1_fulltrim:q3,exp000_sess000_run000:seg00:slot000008,exp000_sess000_run000,8,8,ota/exp0_000008_rxg20_1_fulltrim.cfile,reference/signalout_000008_fulltrim.cfile,1,3,7,3.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000008
exp0_000009_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000009,exp000_sess000_run000,9,9,ota/exp0_000009_rxg20_0_fulltrim.cfile,reference/signalout_000009_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000009
exp0_000009_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000009,exp000_sess000_run000,9,9,ota/exp0_000009_rxg20_0_fulltrim.cfile,reference/signalout_000009_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000009
exp0_000009_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000009,exp000_sess000_run000,9,9,ota/exp0_000009_rxg20_0_fulltrim.cfile,reference/signalout_000009_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000009
exp0_000009_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000009,exp000_sess000_run000,9,9,ota/exp0_000009_rxg20_0_fulltrim.cfile,reference/signalout_000009_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000009
exp0_000009_rxg20_1_fulltrim:q0,exp000_sess000_run000:seg00:slot000009,exp000_sess000_run000,9,9,ota/exp0_000009_rxg20_1_fulltrim.cfile,reference/signalout_000009_fulltrim.cfile,1,0,1,0.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000009
exp0_000009_rxg20_1_fulltrim:q1,exp000_sess000_run000:seg00:slot000009,exp000_sess000_run000,9,9,ota/exp0_000009_rxg20_1_fulltrim.cfile,reference/signalout_000009_fulltrim.cfile,1,1,3,1.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000009
exp0_000009_rxg20_1_fulltrim:q2,exp000_sess000_run000:seg00:slot000009,exp000_sess000_run000,9,9,ota/exp0_000009_rxg20_1_fulltrim.cfile,reference/signalout_000009_fulltrim.cfile,1,2,5,2.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000009
exp0_000009_rxg20_1_fulltrim:q3,exp000_sess000_run000:seg00:slot000009,exp000_sess000_run000,9,9,ota/exp0_000009_rxg20_1_fulltrim.cfile,reference/signalout_000009_fulltrim.cfile,1,3,7,3.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000009
exp0_000010_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000010,exp000_sess000_run000,10,10,ota/exp0_000010_rxg20_0_fulltrim.cfile,reference/signalout_000010_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000010
exp0_000010_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000010,exp000_sess000_run000,10,10,ota/exp0_000010_rxg20_0_fulltrim.cfile,reference/signalout_000010_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000010
exp0_000010_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000010,exp000_sess000_run000,10,10,ota/exp0_000010_rxg20_0_fulltrim.cfile,reference/signalout_000010_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000010
exp0_000010_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000010,exp000_sess000_run000,10,10,ota/exp0_000010_rxg20_0_fulltrim.cfile,reference/signalout_000010_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000010
exp0_000010_rxg20_1_fulltrim:q0,exp000_sess000_run000:seg00:slot000010,exp000_sess000_run000,10,10,ota/exp0_000010_rxg20_1_fulltrim.cfile,reference/signalout_000010_fulltrim.cfile,1,0,1,0.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000010
exp0_000010_rxg20_1_fulltrim:q1,exp000_sess000_run000:seg00:slot000010,exp000_sess000_run000,10,10,ota/exp0_000010_rxg20_1_fulltrim.cfile,reference/signalout_000010_fulltrim.cfile,1,1,3,1.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000010
exp0_000010_rxg20_1_fulltrim:q2,exp000_sess000_run000:seg00:slot000010,exp000_sess000_run000,10,10,ota/exp0_000010_rxg20_1_fulltrim.cfile,reference/signalout_000010_fulltrim.cfile,1,2,5,2.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000010
exp0_000010_rxg20_1_fulltrim:q3,exp000_sess000_run000:seg00:slot000010,exp000_sess000_run000,10,10,ota/exp0_000010_rxg20_1_fulltrim.cfile,reference/signalout_000010_fulltrim.cfile,1,3,7,3.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000010
exp0_000011_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000011,exp000_sess000_run000,11,11,ota/exp0_000011_rxg20_0_fulltrim.cfile,reference/signalout_000011_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000011
exp0_000011_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000011,exp000_sess000_run000,11,11,ota/exp0_000011_rxg20_0_fulltrim.cfile,reference/signalout_000011_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000011
exp0_000011_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000011,exp000_sess000_run000,11,11,ota/exp0_000011_rxg20_0_fulltrim.cfile,reference/signalout_000011_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000011
exp0_000011_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000011,exp000_sess000_run000,11,11,ota/exp0_000011_rxg20_0_fulltrim.cfile,reference/signalout_000011_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000011
exp0_000011_rxg20_1_fulltrim:q0,exp000_sess000_run000:seg00:slot000011,exp000_sess000_run000,11,11,ota/exp0_000011_rxg20_1_fulltrim.cfile,reference/signalout_000011_fulltrim.cfile,1,0,1,0.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000011
exp0_000011_rxg20_1_fulltrim:q1,exp000_sess000_run000:seg00:slot000011,exp000_sess000_run000,11,11,ota/exp0_000011_rxg20_1_fulltrim.cfile,reference/signalout_000011_fulltrim.cfile,1,1,3,1.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000011
exp0_000011_rxg20_1_fulltrim:q2,exp000_sess000_run000:seg00:slot000011,exp000_sess000_run000,11,11,ota/exp0_000011_rxg20_1_fulltrim.cfile,reference/signalout_000011_fulltrim.cfile,1,2,5,2.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000011
exp0_000011_rxg20_1_fulltrim:q3,exp000_sess000_run000:seg00:slot000011,exp000_sess000_run000,11,11,ota/exp0_000011_rxg20_1_fulltrim.cfile,reference/signalout_000011_fulltrim.cfile,1,3,7,3.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000011
exp0_000012_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000012,exp000_sess000_run000,12,12,ota/exp0_000012_rxg20_0_fulltrim.cfile,reference/signalout_000012_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000012
exp0_000012_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000012,exp000_sess000_run000,12,12,ota/exp0_000012_rxg20_0_fulltrim.cfile,reference/signalout_000012_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000012
exp0_000012_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000012,exp000_sess000_run000,12,12,ota/exp0_000012_rxg20_0_fulltrim.cfile,reference/signalout_000012_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000012
exp0_000012_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000012,exp000_sess000_run000,12,12,ota/exp0_000012_rxg20_0_fulltrim.cfile,reference/signalout_000012_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000012
